"pkg";"version";"last_updated"
"ggplot2";"0.5.1";"2007-06-10"
"ggplot2";"0.5.2";"2007-06-18"
"ggplot2";"0.5.4";"2007-07-08"
"ggplot2";"0.5.5";"2007-09-01"
"ggplot2";"0.5.6";"2007-10-20"
"ggplot2";"0.5.7";"2008-01-11"
"ggplot2";"0.5";"2007-06-01"
"ggplot2";"0.6";"2008-04-03"
"ggplot2";"0.7";"2008-10-05"
"ggplot2";"0.8.1";"2008-12-14"
"ggplot2";"0.8.2";"2009-02-25"
"ggplot2";"0.8.3";"2009-04-20"
"ggplot2";"0.8.4";"2009-12-09"
"ggplot2";"0.8.5";"2009-12-16"
"ggplot2";"0.8.6";"2010-02-18"
"ggplot2";"0.8.7";"2010-03-02"
"ggplot2";"0.8.8";"2010-07-05"
"ggplot2";"0.8.9";"2010-12-23"
"ggplot2";"0.8";"2008-11-21"
"ggplot2";"0.9.0";"2012-03-01"
"ggplot2";"0.9.1";"2012-05-08"
"ggplot2";"0.9.2.1";"2012-09-11"
"ggplot2";"0.9.2";"2012-09-04"
"ggplot2";"0.9.3.1";"2013-03-02"
"ggplot2";"0.9.3";"2012-12-05"
"ggplot2";"1.0.0";"2014-05-21"
"ggplot2";"1.0.1";"2015-03-17"
"ggplot2";"2.0.0";"2015-12-18"
"ggplot2";"2.1.0";"2016-03-01"
"ggplot2";"2.2.0";"2016-11-11"
"ggplot2";"2.2.1";"2016-12-30"
"ggplot2";"3.0.0";"2018-07-03"
"ggplot2";"3.1.0";"2018-10-25"
"ggplot2";"3.1.1";"2019-04-07"
"ggplot2";"3.2.0";"2019-06-16"
"ggplot2";"3.2.1";"2019-08-11"
"ggplot2";"3.3.0";"2020-03-05"
"ggplot2";"3.3.1";"2020-05-29"
"ggplot2";"3.3.2";"2020-06-19"
"ggplot2";"3.3.3";"2020-12-30"
"ggplot2";"3.3.4";"2021-06-16"
"ggplot2";"3.3.5";"2021-06-25"
"ggplot2";"3.3.6";"2022-05-03"
"ggplot2";"3.4.0";"2022-11-04"
"ggplot2";"3.4.1";"2023-02-10"
"ggplot2";"3.4.2";"2023-04-03"
"ggplot";"0.2.2";"2006-04-06"
"ggplot";"0.3.2";"2006-06-23"
"ggplot";"0.3.3";"2006-07-10"
"ggplot";"0.3";"2006-06-23"
"ggplot";"0.4.0";"2006-10-01"
"ggplot";"0.4.1";"2007-05-31"
"ggplot";"0.4.2";"2008-10-14"
