Syllable	category	barva	poradi	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
A10	A	#ff0000	48	1	0	2	1	0	0	1	1	1	2	2	0
A11	A	#ff0000	46	0	0	0	0	0	0	0	0	0	0	2	0
A122	A	#ff0000	51	0	0	0	0	0	0	0	0	0	0	0	1
A131	A	#ff0000	101	1	0	0	0	0	0	0	0	0	0	0	0
A153	A	#ff0000	45	0	0	1	0	0	0	0	0	0	0	0	0
A1716	A	#ff0000	47	0	0	0	0	0	1	1	0	0	0	0	0
A187	A	#ff0000	44	2	1	0	0	0	0	0	0	0	0	0	0
A4	A	#ff0000	49	3	3	3	2	3	3	3	3	4	4	4	4
A42	A	#ff0000	61	0	0	0	0	0	1	1	0	0	0	0	0
A48	A	#ff0000	53	2	2	2	2	2	2	2	1	2	1	0	0
A5	A	#ff0000	79	2	0	0	1	0	0	0	0	0	0	0	0
A55	A	#ff0000	103	1	0	0	0	0	0	0	0	0	0	0	0
A56	A	#ff0000	102	0	0	0	0	0	1	0	1	1	0	0	0
A6	A	#ff0000	50	3	3	3	3	3	2	2	3	2	3	3	3
A70	A	#ff0000	55	2	0	1	1	2	2	0	2	1	0	1	2
A71	A	#ff0000	54	0	0	0	0	0	0	0	1	0	0	0	0
A8	A	#ff0000	52	1	0	0	1	0	0	0	0	0	0	0	0
A9	A	#ff0000	115	0	1	1	1	0	0	0	0	0	0	0	0
B101	B	#00ff00	14	0	0	1	0	0	0	0	0	0	0	0	0
B1016	B	#00ff00	12	0	0	0	0	0	1	0	0	0	0	0	0
B11	B	#00ff00	8	3	4	4	4	4	4	4	4	4	4	5	5
B19	B	#00ff00	13	0	0	0	0	0	0	0	0	1	1	1	1
B3	B	#00ff00	6	2	2	1	0	2	2	2	1	2	2	0	0
B4	B	#00ff00	7	1	0	0	0	0	0	0	0	0	0	0	0
B43	B	#00ff00	15	1	0	0	0	0	0	0	0	0	0	0	0
B44	B	#00ff00	11	0	0	0	0	0	0	1	1	2	1	0	0
B45	B	#00ff00	10	2	1	1	1	1	1	0	1	0	0	0	0
B92	B	#00ff00	9	3	3	3	3	2	2	2	2	2	1	1	2
C1	C	#00ffff	65	4	4	3	3	3	3	3	3	2	2	2	2
C11	C	#00ffff	68	2	2	3	3	3	3	3	3	4	4	4	4
C111	C	#00ffff	73	1	0	0	1	0	0	0	1	0	0	0	0
C12	C	#00ffff	64	1	1	0	1	0	0	0	0	0	0	0	0
C17	C	#00ffff	72	0	0	0	0	0	1	1	0	0	0	0	0
C2	C	#00ffff	66	3	3	2	2	3	3	3	3	2	2	2	2
C22	C	#00ffff	70	1	2	2	1	2	1	0	2	2	1	0	0
C3	C	#00ffff	67	0	0	0	0	0	0	0	0	0	1	0	0
C5	C	#00ffff	69	0	1	1	0	1	0	0	0	0	0	0	0
C99	C	#00ffff	71	0	0	0	0	1	2	1	1	0	0	0	0
D101	D	#1f79c8	110	0	0	1	0	0	0	0	0	0	0	0	0
D1013	D	#1f79c8	126	0	0	1	0	0	0	0	0	0	0	0	0
D12	D	#1f79c8	118	3	4	4	4	4	4	4	4	3	3	4	4
D120	D	#1f79c8	131	0	0	0	0	0	0	0	0	0	1	0	0
D121	D	#1f79c8	125	0	2	0	0	1	1	2	2	0	0	0	0
D122	D	#1f79c8	122	0	0	0	1	2	1	0	0	0	0	0	0
D123	D	#1f79c8	111	0	0	0	0	0	0	1	1	1	1	0	0
D124	D	#1f79c8	124	0	0	1	0	0	0	0	0	0	1	0	0
D13	D	#1f79c8	128	0	0	1	0	0	0	0	0	0	0	0	0
D14	D	#1f79c8	120	0	0	1	0	0	0	0	0	0	0	0	0
D15	D	#1f79c8	129	0	0	0	0	0	0	0	0	1	1	0	0
D1718	D	#1f79c8	121	0	0	0	0	0	0	0	1	0	0	0	0
D19	D	#1f79c8	117	2	1	1	1	2	2	2	2	2	3	3	3
D2	D	#1f79c8	123	1	0	1	0	0	0	0	0	1	1	0	0
D25	D	#1f79c8	116	0	0	0	0	0	0	0	0	1	0	0	0
D4	D	#1f79c8	130	1	0	0	0	0	0	0	0	0	0	0	0
D415	D	#1f79c8	119	0	0	0	0	2	1	0	0	0	0	0	0
J5	J	#327000	104	2	2	2	0	0	0	0	0	0	0	0	0
D55	D	#1f79c8	57	0	0	0	1	0	0	0	0	0	0	0	0
D72	D	#1f79c8	127	0	0	0	0	0	0	1	0	0	1	1	1
F	F	#0000ff	43	2	2	1	0	0	0	1	1	1	2	1	2
F10	F	#0000ff	31	3	3	3	4	4	3	4	4	4	5	5	4
F11	F	#0000ff	35	0	2	1	0	1	1	0	0	0	0	0	0
F1120	F	#0000ff	34	0	0	0	0	0	0	0	0	0	1	0	0
F12	F	#0000ff	37	0	0	1	0	0	0	0	1	0	0	0	0
F13	F	#0000ff	38	2	2	0	0	1	2	2	1	2	2	0	0
F14	F	#0000ff	36	0	0	1	1	0	0	0	0	0	0	0	0
F2	F	#0000ff	30	4	5	5	5	5	5	5	5	4	4	4	3
F22	F	#0000ff	28	1	0	0	0	0	0	0	0	0	0	0	0
F23	F	#0000ff	29	0	0	0	0	0	1	1	0	0	0	0	0
F31	F	#0000ff	40	2	2	2	2	2	2	0	0	0	0	0	0
F4	F	#0000ff	39	0	0	1	1	1	2	1	0	0	0	1	1
F5	F	#0000ff	32	0	1	1	1	0	0	0	0	0	0	0	0
F55	F	#0000ff	33	3	3	3	2	2	3	2	3	2	2	0	2
H111	H	#ff00ff	59	3	3	3	2	4	3	3	3	2	1	0	1
H114	H	#ff00ff	58	2	1	1	0	0	0	0	0	0	0	0	0
H13	H	#ff00ff	60	0	1	1	2	3	3	3	3	1	1	0	0
H170	H	#ff00ff	56	0	0	0	0	0	1	1	0	0	0	0	0
H22	H	#ff00ff	27	0	0	0	0	0	0	0	0	0	0	1	1
H99	H	#ff00ff	41	0	1	1	1	0	0	0	0	0	0	0	0
I1	I	#7000bb	62	5	5	5	5	5	4	5	5	5	5	5	5
I16	I	#7000bb	114	0	0	0	0	0	0	0	1	0	0	0	0
I62	I	#7000bb	113	2	2	2	2	1	2	1	0	0	0	1	2
I63	I	#7000bb	112	3	1	1	0	0	0	0	0	0	0	0	0
I65	I	#7000bb	63	1	0	0	0	0	0	0	1	0	0	0	0
J1	J	#327000	82	3	2	3	2	3	3	2	0	0	1	0	0
J100	J	#327000	80	1	1	0	0	0	0	0	0	0	0	0	0
J1012	J	#327000	86	0	1	0	0	0	0	1	0	0	0	0	0
J102	J	#327000	89	0	0	1	0	0	0	0	0	0	0	0	0
J103	J	#327000	83	1	0	0	0	0	1	0	0	0	0	0	0
J104	J	#327000	90	0	0	1	0	0	1	0	0	0	1	2	0
J105	J	#327000	98	0	0	0	0	0	1	2	1	1	1	0	0
J107	J	#327000	85	0	1	1	1	0	0	0	0	0	0	0	0
J110	J	#327000	100	1	0	0	0	0	0	0	0	0	0	0	0
J1110	J	#327000	84	1	1	0	0	0	0	0	0	0	0	0	0
J112	J	#327000	78	0	0	0	0	0	0	0	1	0	0	0	0
